sample_id,label_object,label_material,triad_file,sand_type,lysforhold,avstand_cm,position_id,angle_id,run_id,diameter_mm,size_group,surface_condition,buried_level
S0036,stål_kule,stål,raw/S0036_triad_raw.csv,torr_sand,lampelys,8,P9,A30,R36,11,medium,synlig,0
S0037,stål_kule,stål,raw/S0037_triad_raw.csv,torr_sand,lampelys,8,P10,A30,R37,11,medium,synlig,0
S0038,stål_kule,stål,raw/S0038_triad_raw.csv,torr_sand,lampelys,8,P11,A30,R38,11,medium,synlig,0
S0039,stål_kule,stål,raw/S0039_triad_raw.csv,torr_sand,lampelys,8,P12,A30,R39,11,medium,synlig,0
S0040,stål_kule,stål,raw/S0040_triad_raw.csv,torr_sand,lampelys,8,P13,A30,R40,11,medium,synlig,0
S0041,stål_kule,stål,raw/S0041_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R43,11,medium,synlig,0
S0042,stål_kule,stål,raw/S0042_triad_raw.csv,torr_sand,lampelys,12,P2,A30,R43,11,medium,synlig,0
S0043,stål_kule,stål,raw/S0043_triad_raw.csv,torr_sand,lampelys,12,P3,A30,R43,11,medium,synlig,0
S0044,stål_kule,stål,raw/S0044_triad_raw.csv,torr_sand,lampelys,12,P4,A30,R44,11,medium,synlig,0
S0045,stål_kule,stål,raw/S0045_triad_raw.csv,torr_sand,lampelys,12,P5,A30,R45,11,medium,synlig,0
S0046,stål_kule,stål,raw/S0046_triad_raw.csv,torr_sand,lampelys,12,P6,A30,R46,11,medium,synlig,0
S0047,stål_kule,stål,raw/S0047_triad_raw.csv,torr_sand,lampelys,12,P7,A30,R47,11,medium,synlig,0
S0048,stål_kule,stål,raw/S0048_triad_raw.csv,torr_sand,lampelys,12,P8,A30,R48,11,medium,synlig,0
S0049,stål_kule,stål,raw/S0049_triad_raw.csv,torr_sand,lampelys,12,P9,A30,R49,11,medium,synlig,0
S0050,stål_kule,stål,raw/S0050_triad_raw.csv,torr_sand,lampelys,12,P10,A30,R50,11,medium,synlig,0
S0051,stål_kule,stål,raw/S0051_triad_raw.csv,torr_sand,lampelys,12,P11,A30,R51,11,medium,synlig,0
S0052,stål_kule,stål,raw/S0052_triad_raw.csv,torr_sand,lampelys,12,P12,A30,R52,11,medium,synlig,0
S0053,stål_kule,stål,raw/S0053_triad_raw.csv,torr_sand,lampelys,12,P13,A30,R53,11,medium,synlig,0
